,key,$\Delta$dipole,RMSD,$\Delta$R0,$\Delta$R1,$\Delta$R2
219,1204,0.29926517885210935,0.3007416714119271,0.04469487591412789,0.08880725496350898,0.34605163544911877
132,1153,11.011569898896942,0.3154791462924465,0.043805081843769765,0.4474148923246854,0.5087187821662019
129,1221,0.2930288194509434,0.29865589249606134,0.04331691100627155,0.08784608457193815,0.34808325156575726
223,1188,5.66526200908976,0.27678124000200605,0.042555355335614206,0.5512951807108831,0.6387876291876824
71,1203,12.46324881622961,0.2139472870130308,0.04179022325895719,0.7074895166958011,0.2383453474951054
32,1200,12.393178013142734,0.27057165886153384,0.04091751169558769,0.71225296830281,0.3296424204089295
205,1149,12.384878283997923,0.2863076064193633,0.04081729424707788,0.7028010358012545,0.3203409474028759
122,1103,5.713961762149423,0.3011202089155675,0.040364773645582726,0.5602429182779136,0.5843811581498788
256,1051,11.121635546743306,0.31690693757965727,0.04029150441515559,0.43864607186701343,0.6110737424522401
187,1079,11.120656914077303,0.2633733221586562,0.039997923804904814,0.4241780937806918,0.611909103068884
271,1030,11.05576976751523,0.2759954726333059,0.03913035707271023,0.4597310208470896,0.5944481557563772
20,1158,5.726512228630217,0.2645219915251804,0.038687626551829696,0.5515533850267536,0.5808446442149099
119,1024,5.68238217636439,0.3026267785543707,0.038616946641148994,0.5582918018226513,0.6086781856955786
276,1086,12.492812928450515,0.2908484609160794,0.03810847964239733,0.7084256154862426,0.3912950662609067
68,1108,5.6391010371611525,0.3360469779748341,0.03800323307433997,0.5597969570299396,0.6712870467768541
123,1026,5.6595808543201755,0.22945166307565712,0.037932307067914436,0.5500084871480954,0.5740770658165734
83,1194,12.44030869922775,0.25040093491030935,0.03757382022651036,0.7101089383171563,0.2962844515065947
40,1122,5.6586128643689815,0.2615213075775625,0.036931590809967656,0.5573762508382515,0.5994856280281162
73,1180,5.660097077011804,0.2817627294515891,0.03656338503299829,0.5523392152005405,0.5466989659605168
194,1237,11.059310487063806,0.25468270287316125,0.036236052977861394,0.44226434065596487,0.5819405241806737
66,1207,11.143668745963266,0.26059598486787733,0.03604350577418903,0.4275930213170048,0.6167104275958643
279,1197,5.705434626227448,0.30774165470137244,0.035979138949867914,0.543258039522549,0.6611858002506424
41,1106,11.025939394098378,0.321346860757025,0.03578580740447051,0.4518006553554552,0.5706397217660276
221,1226,11.072923148453937,0.2498006717945261,0.03576090183805292,0.43777715177027376,0.5915039795261023
15,1119,12.50075546809667,0.2783545260228016,0.035635016345278714,0.6989837413883483,0.32604841672232415
227,1128,11.039942833819225,0.19717995625494492,0.03544981294700091,0.4502323804709813,0.4983873114063966
112,1130,0.23242012799875061,0.2347944076952906,0.03504266401854902,0.07535287742832958,0.3003372896047954
166,1023,12.460917054285058,0.25984718827065284,0.03471068661655138,0.7092074507029936,0.341258833590455
213,1242,5.697671964153195,0.20154558588345597,0.03459245226737407,0.555691341022486,0.5690055003530434
171,1155,5.644200990079165,0.26636273950991984,0.0342445770697162,0.5603541660615003,0.5691605837720742
110,1137,11.052129276382649,0.23027917012459687,0.0341769902636584,0.45318339528009344,0.5636935215023771
18,1095,5.6880742303382865,0.2855151822608885,0.034172740588750035,0.5542204651040037,0.5804808500815825
209,1004,12.449414796450956,0.2475331793688812,0.03381250318473541,0.7071206172869109,0.20091696436914108
89,1183,11.099670382781545,0.26523049064276927,0.03354312932970145,0.4439350438706528,0.5806655670577426
258,1060,12.513558927218629,0.224840039742178,0.03340562377675031,0.7000611104684282,0.2531620387915888
107,1006,12.397199481891187,0.36084158315345444,0.033205438175633095,0.7117689478141084,0.42429461751778547
204,1160,12.44480050812505,0.246576026576714,0.033078019865364655,0.7064303408183028,0.31183793355149414
255,1236,0.21832782124073616,0.2278483635234257,0.03271692824369334,0.10135654458315332,0.26541115746608424
259,1220,12.445757163246881,0.260091150003585,0.032172455974350304,0.7126005901979263,0.3468668835423024
195,1089,5.704358029817241,0.2550971476222489,0.03215852310464829,0.5521678019412238,0.5014929380118172
273,1211,0.2570186560406731,0.26197316956645533,0.03201336741670527,0.07592619740171731,0.30749306100101126
184,1068,12.419507115946132,0.22595031865795814,0.031891746540280944,0.7070150060702094,0.2678052841406314
160,1195,12.416477904619533,0.25497168040396795,0.031827297876364305,0.7146962764073019,0.35153799452609497
28,1252,0.3080257913099326,0.31637605617260045,0.03178607840728786,0.09925088870868014,0.37801814577886056
94,1145,11.12433016021983,0.2235786052960821,0.03175413774588038,0.433509706000694,0.588721829669444
175,1075,11.128594845449964,0.3363815147388301,0.03163109638663938,0.43848550683162213,0.7120744312511934
267,1148,0.3409360092918766,0.34556043773528994,0.03160236284412365,0.08753268430353313,0.4032526805084778
196,1058,0.2301790317740392,0.2359408926457522,0.03156018483909213,0.07586782768056069,0.2904864407311427
49,1083,11.024450827723943,0.22758806259078915,0.03141815457361816,0.4526284735195013,0.5749246287322166
63,1181,5.627625199690236,0.2624428450558611,0.031159146833870763,0.5610606558249185,0.5907399462656485
105,1037,11.1630353184196,0.28688486766121235,0.031112339315283243,0.44301879877997413,0.6171273909999482
283,1061,0.2786519658575823,0.2829919620959099,0.031087706571684835,0.06398848026160231,0.3285472831853788
108,1022,0.25071903872355455,0.2619868036445686,0.031026571976372593,0.0745389552271738,0.3206954039275471
74,1143,11.142046868344595,0.28295358001060794,0.030831638909079657,0.43912020531709156,0.6158739685594914
62,1209,0.2798454719385957,0.2844196582139171,0.030804179255429727,0.08069829723261211,0.25626835597963826
