,key,$\Delta$dipole,RMSD,$\Delta$R0,$\Delta$R1,$\Delta$R2
484,1577,3.791117718554737,0.356941502331116,0.3543278372280695,1.1535287665707357,1.4473737546638923
758,1263,0.350189978301677,0.34700839646607956,0.35203615551425527,0.4503912896589473,0.4522492969768667
646,1633,0.3394985522388086,0.3467578663908534,0.3436844728488464,0.4560200879329933,0.38082593620765204
271,1250,5.360773135510037,0.3292779446247973,0.3394509380256892,0.6920786309255265,1.4244086021791524
379,1436,0.7767919557060187,0.3554899609696866,0.33909180489040486,0.4964046301185011,0.7800010387313263
466,1813,5.370836403029327,0.34455116415182174,0.33544820660672964,0.6790831321539204,1.380225796599961
824,1806,0.35995136992577886,0.358662921594624,0.33310801378944394,0.461881135358164,0.48396135949636077
21,1912,5.392645211104203,0.3449183307184235,0.3328306488460259,0.6704926081325702,1.3702644248711309
320,1919,0.5344714937888541,0.34876903289819855,0.3274455145779624,0.46764061056086725,0.6802099940857026
458,1563,3.7861819271952735,0.32792549727024795,0.32597446307460587,1.1176501471660751,1.4436405576035465
1033,1749,3.8062327067763917,0.3464473552350251,0.32583791018432123,1.1253033885157475,1.53401996591311
922,1236,5.513227694711484,0.34743914767505313,0.3244063865471914,1.1378887310685304,1.1870314833875188
249,1910,3.818494917644689,0.3240586632377373,0.3220697795093004,1.1185276935074873,1.4184646240430798
134,1501,5.38224863036741,0.34547985697732747,0.3207431792762,0.6696768717122018,1.4323336846260974
114,1865,5.413365533863581,0.3499281623263433,0.3184102865024422,0.6648065439715614,1.4741918497789284
817,1881,0.3699805883221479,0.3374782412333518,0.31534084967048126,0.4399316531355042,0.4804866177124477
1025,1207,5.368390991380489,0.32609567627265745,0.3140083051989225,0.6701818016756304,1.4036121358373554
975,1355,0.4590575421054774,0.34023391175786466,0.31302270023207635,0.4642609901547694,0.48528000835139673
64,1346,3.7983952184943965,0.3450160688241049,0.31162320331215143,1.112854731676235,1.4954184475966237
338,1223,5.370510607718684,0.3231453516086033,0.30974715363998356,0.6526350876954304,1.3595635236910049
163,1902,0.3647078929534281,0.34224068822421627,0.3092254162828691,0.42834997644725964,0.4177812744240969
511,1826,5.394718765706211,0.32955151371554425,0.3084608770169247,0.6551609278181321,1.4003145976202092
759,1559,3.7450531565151324,0.34556665022437605,0.30664900705607373,1.096359846491694,1.5717717067339632
873,1542,3.6551738622401326,0.34388187721224184,0.3058650069998057,1.0836566946906403,1.6567255271396983
341,1617,0.458608240622997,0.3395584779695844,0.3048431379361785,0.43305179813773903,0.5553359087499957
743,1512,5.361407141936038,0.3413607750025616,0.3034671515685835,0.6534751082690261,1.4492436009349745
125,1614,0.45768304003676186,0.3338604270417454,0.3027604557160911,0.4373696930717766,0.5146433380014548
869,1354,5.422729655615683,0.3373617433324663,0.3002710600190676,0.6394053953302882,1.4198198832957312
391,1843,5.3792444299423225,0.32763127358318267,0.2995582951373972,0.6581674845325834,1.4300351419527249
304,1434,0.5141556336827492,0.3266147692099302,0.2989905092820345,0.4211445294183405,0.541144971215785
272,1645,5.362818698041823,0.3285241352930993,0.2983535149245648,0.644396297174239,1.461955507516296
401,1626,5.407458303142337,0.3308193094916264,0.29815390312787227,0.6473735499240104,1.4435617609454092
15,1520,5.36961733962435,0.30710289359617043,0.2976206722588491,0.659511423716123,1.3637945684749613
476,1775,5.413653986959562,0.32826358898825736,0.29734839087996284,0.6407300160427694,1.3763643197463056
162,1475,5.390670477361942,0.33787078521746006,0.2965276690679768,0.6518405388032004,1.4346986440017544
686,1454,5.513889728569076,0.340553483171065,0.29621303627319945,1.1176494312520036,1.083063122453053
107,1412,3.7983667999880635,0.33335416825373987,0.294843014749544,1.0976066474319601,1.521913311324624
982,1524,0.36887670170634007,0.3376115265064668,0.29467724364125103,0.42285741325304416,0.45418676176463096
191,1421,5.372978989673699,0.34820158694513353,0.29406625254622887,0.6569401535030682,1.5286934806408674
503,1921,5.358330437560038,0.3219401943881252,0.293927550168168,0.6482517788833417,1.4315661079704929
268,1493,0.4773191359225503,0.3321116010308206,0.2928145147632889,0.4152673624670311,0.48723938700507025
358,1536,5.379992834237139,0.319599844336949,0.2917461396908942,0.6400364554641582,1.4459947313803494
977,1945,5.384875886058332,0.33143833470677325,0.29174560474113687,0.6391315921123234,1.4763860864498337
860,1656,0.6973092620550886,0.3134009087792847,0.2915290293322975,0.4299326411542944,0.6889054870674478
1041,1481,5.375422394143949,0.31893337939850414,0.291231859326318,0.6531708459958558,1.319231509626457
373,1597,0.35875280931368325,0.3312873768723946,0.290670857270409,0.40812516824530387,0.478126898605072
44,1613,5.35562034661349,0.3336139775561736,0.2905168870808512,0.645209191106587,1.4378107388150454
633,1668,5.399675404524502,0.35300265697110583,0.28983676299173605,0.6339390687663453,1.4840450109979475
395,1295,5.317239800779324,0.314782574279325,0.2894428257641203,0.6648324604057543,1.449142582768307
599,1852,5.379580508930702,0.31800894264273594,0.2891265569569949,0.6274355269455659,1.416469663169467
75,1880,0.41635757711850796,0.36038848104742677,0.2881348457235161,0.44702844450473533,0.5163909298296021
364,1331,5.34216620005194,0.2957544745516285,0.2870277755308951,0.6422182827740249,1.3338597682379192
601,1659,0.8785162375877412,0.33339118431945464,0.2863768549423295,0.47497913542353004,0.8857287739680196
986,1491,5.45950049513073,0.3048961704184836,0.2859929091191306,1.1417526142637784,0.9100736433833814
487,1817,5.541013330242714,0.33866636001312034,0.28559898475808126,1.104627295959005,1.043068460925891
1001,1764,5.408499493737159,0.33894669498249064,0.2846330019842244,0.6378339271767155,1.500184519964396
43,1795,5.519125393971873,0.3451281108928378,0.2845190514918968,1.084351496850553,1.2985734662417694
194,1632,0.45286419193002747,0.3246524070275763,0.2836967369068899,0.4092406765551209,0.4793593929057712
301,1666,0.3968597000238287,0.3358725224142467,0.2831627187705781,0.41324424214839656,0.4083999945354671
510,1604,3.7834016217262523,0.31057556840007877,0.282364077758238,1.0732314409919554,1.494678002021068
98,1386,0.3319936269332435,0.34002833711907865,0.2809027820269312,0.4154348457461534,0.41588502987849935
184,1683,0.51501915497099,0.337581134988191,0.2792209995026892,0.4510193736859006,0.6136554987902818
450,1441,3.7693410123752336,0.29730383830977103,0.27727313381521523,1.0686461390779751,1.5138138473848508
577,1789,5.381796821578991,0.3276728066635713,0.27690752029092275,0.6276089607474938,1.4103825694698984
1066,1232,0.47664252997715106,0.3391172167380064,0.2768713425670636,0.4217006990562279,0.5399670237059201
96,1792,0.40167367563814166,0.3257606029484898,0.27683653513967427,0.4157831766750374,0.47604982923283545
480,1855,0.3270857790397534,0.3131639982226992,0.276556119893071,0.38779879626494607,0.41128720612246544
467,1484,5.403230097197112,0.34596600590819954,0.27602668937270486,0.6336830892408221,1.500140774651151
18,1663,0.37816773307640617,0.33133841757168697,0.27562988247132947,0.4106596406987615,0.37574774563180163
181,1726,0.6933973721991652,0.33729826291213094,0.2752517600051557,0.44614611307953084,0.7437602245521088
795,1777,3.755467288747038,0.29346310594565816,0.27420391845916015,1.0710990363176864,1.4690968103198956
690,1625,0.6435969680224807,0.31838175807770935,0.27366398129726266,0.4147806653800646,0.692476046426848
507,1834,5.325030746216022,0.2940081623794086,0.2736121849473387,0.6491060859128237,1.3571879011721346
627,1425,0.46383685329318547,0.3110265110023627,0.27233571713927945,0.40689572851429434,0.5068532828761616
1047,1235,3.774506644994171,0.3148079472317979,0.27032096949463036,1.057701109993164,1.4994200205520014
896,1598,5.357317147820063,0.312977323175158,0.2691392933769642,0.6332991111139221,1.431065524992556
1050,1228,0.46448852888174846,0.3149695061393948,0.2677522502981582,0.3882703459546095,0.5841620000692018
205,1205,3.8072546194802217,0.34134950050877655,0.26737061912852617,1.0683760100928776,1.530253571021395
571,1637,5.348968975381856,0.3296783317287793,0.2672458889227802,0.6357041074945973,1.4077930306641058
948,1928,5.388523143956218,0.3146299054630974,0.26723156264061637,0.6263221214105155,1.4467717175314139
1064,1464,3.6794816398761174,0.3116191843051775,0.26701617613056133,1.0527673459576399,1.6260515205021129
91,1299,5.339555996806144,0.333460674417058,0.26484486543805613,0.6468713490860006,1.4703076196464255
856,1922,5.407950107041878,0.32215921049804486,0.264593224488263,0.6261256300006375,1.4672123010163645
298,1622,0.8019859041554648,0.32997509490823923,0.2640725705376243,0.4403025608289616,0.7362689252891358
279,1380,5.365736790984374,0.29389938212054306,0.2638429295348233,0.643366527387517,1.4097898755615872
762,1226,5.405093612377431,0.3476175197407771,0.2629213552698818,0.6264273835991664,1.4727508539088199
687,1243,0.4197283423356285,0.3226542853831886,0.26261449989280317,0.4026377488452323,0.46987455141216744
319,1471,5.318209726510966,0.28800090781293763,0.26162163785516607,0.6453905905786465,1.387503858811581
914,1587,5.340881000095786,0.32081701627634673,0.2614331103497422,0.6515433666336065,1.4444858154068478
155,1771,5.4231723453599,0.34145077249358335,0.26066599338270635,0.6177478806468479,1.4789920859632422
973,1318,0.41047707271180706,0.28859425879260747,0.25774330103478155,0.3765232725676807,0.4502494698972647
1037,1861,5.398240843193638,0.2778128612419184,0.2577185418727226,0.6234145091655933,1.3677164350546478
124,1664,3.8124097392222804,0.3483026921649461,0.2564114486734777,1.051759023812939,1.5206243052519004
664,1703,0.279644890459214,0.2849225359911431,0.25485133240949714,0.3550984964005774,0.37667636808509125
345,1811,5.451066826231944,0.336769344735022,0.2546640812243244,0.6278389148780343,1.5376049656603783
99,1743,3.7674938223498464,0.3177438979195031,0.2543743186373857,1.05132991477521,1.564154481354633
589,1342,5.360264528056749,0.28378321188891736,0.25358096865945773,0.6250127419423518,1.3894466015379632
424,1517,0.3107845604761941,0.27739367550379024,0.2530034579224723,0.3454298627235679,0.4204002728374697
829,1537,0.7328209750006236,0.30848083150570904,0.2525012651005664,0.413741787052715,0.756266482564345
220,1411,5.360911954213076,0.2885960357697897,0.25243307710123364,0.6478167614664364,1.3252234341048095
501,1931,0.7160456425255598,0.2883576941402959,0.2522538129034778,0.3899588966310923,0.7377602219976922
699,1523,3.7749766376411316,0.3000523887023359,0.2516299419155805,1.0631852843985217,1.4872580291532254
434,1241,0.3892989867315868,0.3401198046043711,0.251532174443583,0.3984377517241827,0.4813935298895611
377,1593,0.4059447733643438,0.34178614776973076,0.2510701332842303,0.3928027154780064,0.4743083807587065
332,1917,5.567476245252553,0.3448416500452795,0.25104676454210223,1.0685023761609524,1.0857001219284628
1009,1282,3.7311827961401542,0.2905413757539018,0.2503623715982474,1.034918501279613,1.5683676736717038
741,1575,0.44184023886699814,0.29339462395619453,0.25025182372879257,0.38077365037702354,0.53578827598914
770,1767,5.286226735087482,0.2922952170250953,0.24958813360080095,0.6445833928530891,1.3277450513391593
519,1936,0.9191704043481418,0.33487845409344863,0.2479310513041638,0.44051136021620435,0.8053743436035782
938,1938,0.2788725567088109,0.2805782648544275,0.24608895680280649,0.3430911428439329,0.3075008353159939
722,1513,0.3160847648231516,0.32785047711457527,0.24588012288221428,0.381248947064194,0.3772225841277393
840,1698,0.36804487883829784,0.31526840781362847,0.24481735530927964,0.3911295979470564,0.43290105407681995
916,1276,0.28025182458110454,0.2813145613588477,0.24429709704011526,0.3462986288940921,0.3410079800967081
399,1900,0.29015224314555316,0.291799219240036,0.2441386816989531,0.35695787710506693,0.322623230136016
855,1390,5.408030845030634,0.30504419123160814,0.24308370545436142,0.6353284697612238,1.4563652702053604
101,1612,3.8113056307259012,0.3410606427381934,0.24232523693576496,1.0399264795230745,1.535363698391545
255,1701,5.3363607824130295,0.28542518837335457,0.2420026594605274,0.6435347629022038,1.3128462045696567
539,1585,5.37353541890554,0.2992425385935471,0.24188927014428396,0.6161859654561086,1.364906685978698
34,1869,5.357695971787928,0.265105859954685,0.24182960594450434,0.63929988706785,1.332671969549189
897,1525,0.4529575265897467,0.2875935842156893,0.24116710269158168,0.3474066630765219,0.5267152420830518
495,1889,5.417361351929571,0.28832238513611486,0.2410910269976989,0.6281397014273773,1.4349373579804794
151,1285,5.459616898003327,0.34751776122230016,0.24098009780205967,0.6305987228982828,1.524780993949675
955,1576,0.2947087045456937,0.2995894530898578,0.23920349892841614,0.33087919743527117,0.34040257312351535
102,1770,0.7687173445929826,0.2980342924406746,0.2390604385870778,0.41029944937626023,0.7986904108719888
859,1704,5.404339121639218,0.29370235477819173,0.2384939332475562,0.6242549442723097,1.467229540825782
976,1791,0.4129369420200144,0.3173169521865741,0.23808347524145904,0.3733090856327121,0.46721544338730003
177,1518,0.8052944987053676,0.33325062286123863,0.23724674431331633,0.4267360149172068,0.8143049878650788
1039,1961,0.8177974874912436,0.34371218963439676,0.23713876730711142,0.4072621126926739,0.6992954980084408
11,1254,0.3743695070627421,0.31887198843573106,0.23706631202891898,0.3870474860120566,0.47308589823975195
454,1904,5.3125290713101005,0.2730299899952035,0.2368604449366696,0.6327051143950868,1.3020661715585617
187,1424,5.389426931232311,0.31194647651828594,0.23664334464840053,0.6283514014170855,1.459595031905148
82,1364,5.350036049681207,0.26202679896638353,0.23539746173974488,0.6167678065789968,1.3387106586249895
416,1324,5.499612531439993,0.30622041237918707,0.23443013439152904,1.0730376864610245,0.9810769707376462
523,1747,0.2556012598926078,0.2666088852172105,0.23439187193725372,0.3218785564362811,0.30995531201302323
763,1892,0.4582287221713961,0.3295165966960159,0.2343757228998294,0.3920820655597141,0.5498715563046852
1060,1724,0.5505620032036518,0.3145855871414264,0.23435547234215526,0.38456394903820135,0.549924801860456
724,1599,5.329732017029873,0.29241518732749483,0.23412301837893054,0.6340905519080403,1.3848183528914835
201,1883,5.407807689655573,0.3047321718929395,0.2338181665415968,0.6136768454198238,1.4818521456622082
813,1495,5.33335022013948,0.3029806089012188,0.2327667309341634,0.6349094922805794,1.4160603343849187
264,1253,0.310718917527963,0.3133555308169675,0.23265256260910225,0.35190788645521026,0.43429268504209995
760,1548,0.3725190402194625,0.2739851647503242,0.23264601022208323,0.3453964799048125,0.3782024848495136
5,1860,3.7987192153158977,0.27067202950332353,0.23214510994788934,1.046906700093523,1.4537823564663335
418,1592,3.808471612332983,0.29774941434071633,0.23179801882896875,1.0412087895581688,1.4948622843051902
230,1352,3.8309802731881457,0.2694282315528902,0.23177729829161825,1.0516214498386904,1.3367704814907777
1058,1962,0.4395853202689457,0.27748849201227843,0.23092994411147258,0.34544533775879277,0.5202240169498149
353,1723,5.354674703276961,0.25351889800849414,0.22997152189441103,0.6325962867996181,1.3356861463413512
143,1245,0.8277990784774577,0.3026125756143395,0.22944791503370365,0.4079894015095589,0.8196691425288664
532,1388,0.3398993438385985,0.2737698124511478,0.2290648332540018,0.33529458791210903,0.4336287675473023
561,1532,0.2889078741537926,0.2808974222970632,0.22870017727878633,0.3419324255201724,0.31193089727375073
1015,1745,5.3703510497935,0.252941937510228,0.22848913448626237,0.6151598776809205,1.314696284160567
289,1708,0.38752232308373613,0.346328966175777,0.22835477900118964,0.38185448195821897,0.5006384655917389
120,1570,0.2924677769419539,0.29872458748737296,0.2282852553554629,0.33943110531115084,0.3118453169896635
117,1794,0.5126326581326498,0.3107592724687834,0.22596668025569902,0.3762503386117335,0.5770222935357431
895,1262,3.7732992778431864,0.2742281681184105,0.22471627523836954,1.016373144672967,1.5216062563312105
688,1946,5.399663773798432,0.2805610980430909,0.2242988946287053,0.6101416023195729,1.378290882367127
739,1954,0.5420215077498858,0.2736555472557073,0.2236650695741857,0.3586314716748535,0.5646060335853225
756,1898,5.352632601195064,0.279155297090626,0.22254844116044117,0.6133424739978713,1.4017805396081686
228,1255,5.397057462027738,0.2613761689265481,0.22241715025643838,0.6115755923256064,1.431858524142987
419,1897,0.35618385668877683,0.3341108923161972,0.2217000396738366,0.3657897609834445,0.48646171790215464
834,1578,5.381913767368179,0.2766209218056577,0.21998570851537216,0.6104346270679989,1.3844811499857588
578,1844,5.563366503081988,0.3303458505761394,0.21932346237812825,1.049493778993336,1.0352008392493401
475,1323,5.414197156483638,0.31635293037202483,0.21932088321959473,0.6090317596635163,1.4863116915313996
814,1213,0.44698055245948903,0.2741242946282316,0.217600399706018,0.33504163335055126,0.47080085284561585
556,1311,0.263862108126762,0.2576948924803423,0.21727082259226865,0.30729501762330047,0.3829999195619482
50,1759,0.5108348942929742,0.32553302904787884,0.21546682934686762,0.37477690701475536,0.5697964545733998
949,1202,0.366322380460759,0.2874241778241092,0.21525170746398342,0.34138713639512114,0.44571244176066765
1048,1838,5.43261043961091,0.2801867737885506,0.21422585559731597,0.5939451165051579,1.4078212442153126
781,1646,5.319538696747692,0.2641140170235825,0.21295038354821216,0.6314126316021709,1.3146706913971615
118,1661,5.3605611459308475,0.28903296291490316,0.21286977561422887,0.622788576656128,1.3960355560456956
183,1505,0.5462981817989586,0.3162495109709543,0.21236331051651056,0.3659496911478483,0.5109086575540542
37,1877,5.405917581894775,0.2473949515723237,0.21179313095651392,0.6185493188748437,1.388389576643203
95,1611,5.447434336967372,0.29013756104795074,0.21139105133652125,0.6080330958745354,1.4476475162764408
295,1785,0.39462386458522125,0.3174313320234427,0.2103082672077148,0.3562199922919848,0.44976392500901136
642,1583,5.410159237332238,0.2906925330811713,0.20847867131243694,0.5965426330572727,1.371340780323324
211,1272,3.8295381211330897,0.26129912880525763,0.20773554391121696,1.0230660108926093,1.4121715782955326
41,1423,5.367794695318249,0.27425941670397835,0.20672390769463353,0.611993331484158,1.3568753989717002
800,1650,5.387835814783114,0.2824118126782273,0.20610953169114266,0.610312639253677,1.374730663755973
23,1641,5.5272487264129735,0.27944435602757295,0.20534366533960235,1.0648384942985853,0.7950307296503123
147,1289,5.382321079213983,0.25497879874781354,0.20393615012178312,0.5933842915195234,1.3201918054557444
1031,1887,0.4447982200646789,0.2788877019773235,0.2031409957493095,0.3373096657973561,0.48525111196517995
789,1472,5.368453452675606,0.30211881532985474,0.2030373485633255,0.5958068516134231,1.4407464827615009
86,1734,5.375585230269767,0.24323402528311638,0.20278395996324994,0.610394582433029,1.270404261079852
959,1799,5.3293925190188585,0.24956166870486532,0.202327038836071,0.6234503843465373,1.2975526397104187
735,1600,5.308212456749043,0.24278169429221455,0.20168487209191827,0.6137355249556726,1.2966767151006051
704,1733,5.359245480225031,0.223920137217839,0.200686066378954,0.5985188464276882,1.2869958952126281
854,1584,0.2500381823009138,0.24967394105609378,0.19850210117519318,0.30650173886124993,0.28625750103690994
546,1385,5.420198141965037,0.2876680988726582,0.19779853254034468,0.6003334208506644,1.3922858273687229
707,1555,5.394649080645423,0.277354969435648,0.1973563295708219,0.5906198245760921,1.4175934026745918
371,1581,5.435004993236266,0.28152513637482485,0.19716185430405794,0.5894105977049584,1.4203430112203739
981,1929,3.7939824975407266,0.27354774394062,0.19663274548613854,1.0078233006779043,1.4319451789271789
311,1608,5.351656102283465,0.2507846926410639,0.19611238892430433,0.591287559786275,1.322448559728059
245,1522,0.2547043247694461,0.25793347717851756,0.19589460511215112,0.2965326905868097,0.3126727761716395
281,1602,5.384102664035541,0.2623417633405831,0.19488522016552942,0.6023188007742387,1.391992870027196
423,1210,5.35519574669897,0.2294843119679714,0.19446912018808343,0.6189264901525264,1.273167732119806
427,1609,0.330117281197483,0.2790466044888929,0.19435781691391796,0.3249125654104122,0.39332298559395756
425,1808,5.516401944234514,0.23432078210645232,0.19389782718932339,1.0673549711808707,0.8447396891452286
903,1932,0.21840671043705978,0.22484415909885053,0.1937897824645,0.27746798902922254,0.2539898740231378
892,1768,5.395148089267375,0.25473664730569356,0.1921261445748801,0.6032213195632385,1.3331836217244846
908,1821,5.35320537139768,0.238460446412947,0.19162593809043366,0.6047939221594291,1.2759306717478105
226,1379,5.394117177990233,0.26767496871842567,0.19119413639646043,0.5718821080559627,1.414488137929821
