,key,$\Delta$dipole,RMSD,$\Delta$R0,$\Delta$R1,$\Delta$R2
712,1200,0.2046618407035864,0.21675927300274792,0.0847975886649271,0.1966226244041488,0.2279187257144919
175,1188,0.2545014272087895,0.2584344519025436,0.07612321794547555,0.22632487600852128,0.3131643356806576
338,1519,8.502775869771982,0.28704869013818435,0.07202567959118088,0.840891205257799,1.3496873359517563
116,1408,8.511228055935435,0.23172442908114538,0.06926174790918527,0.8224057522994708,1.3318622875369226
671,1030,0.21372709987077126,0.22741017413505496,0.06717228195478574,0.1688185750086676,0.26655157396927764
577,1202,0.21962629204441145,0.22612594569400338,0.06589503228447147,0.17642327405054467,0.2405375864798258
157,1043,0.2499064107240858,0.26515123533299473,0.06554332136662612,0.18791023521414957,0.28944394086763453
440,1089,8.50428623506437,0.2607397985157038,0.06514501927763668,0.8640403222990782,1.331267889816602
243,1021,8.569068752265327,0.21863946962660946,0.06510736832526479,0.8510893042993777,1.3800218459307618
649,1019,0.24649062237318384,0.24888652424102747,0.06382017230781434,0.18697257247164573,0.2729697779338029
762,1683,8.511313390972742,0.2369681953758852,0.06377592846952301,0.8609738211996977,1.3536029067949007
258,1345,0.16605269766897884,0.17037376849123442,0.06334145884701978,0.14669257595311183,0.19836713619325178
691,1582,0.2280381560641069,0.2381695084553367,0.06302552119333121,0.18106450313604336,0.2716528985088859
305,1280,0.2089195469522464,0.2175331692097014,0.06288369434016022,0.1569507356375015,0.25725901366602094
277,1510,0.27796155511724663,0.2929684505350615,0.06245585732201877,0.18451737697763448,0.29420784223468854
635,1166,8.471777726126776,0.2401494850029831,0.06232106871318754,0.8215805450240563,1.2774934070148551
25,1555,0.1860245267713295,0.1923305670589733,0.06204230365488494,0.17014116118939782,0.26074507517121553
323,1265,0.19879158587994372,0.2018660287678355,0.061722907210035274,0.17728744085466924,0.2519443541073299
230,1445,0.25208582915464095,0.2547856636167019,0.06119891699381017,0.19654617478183256,0.29407503505189647
679,1151,8.450949795906443,0.19443798490258385,0.06088286443712716,0.8437733896772591,1.265295941419765
2,1495,0.1899371575749913,0.19089272226510384,0.060878584186812176,0.16257942532547306,0.23843462534587476
465,1643,0.2290314442340238,0.23257212345298248,0.06059261784987962,0.17399978166546856,0.23358916761573403
718,1596,0.22697018590015275,0.2385089262178391,0.060495801648093935,0.16526379241842973,0.22963402443493702
286,1312,8.579321204301483,0.27105240516627843,0.06014110508692511,0.8538209297565422,1.4187890486719255
499,1539,0.21663158447393727,0.2197050490686367,0.059850219795610254,0.16288905516260038,0.2281477361103601
530,1542,8.45855590724952,0.2404658899732043,0.059332383779976655,0.8491450996082208,1.2997818182713832
588,1352,8.507795076461923,0.1892289354615547,0.0591447280653747,0.8404685450829349,1.3660396851285763
567,1654,0.17074262899972056,0.1755704016969102,0.05907230170977645,0.125991369395421,0.23576394862582498
156,1662,8.479715221549169,0.19659630577787407,0.05902332363282286,0.8341907218355986,1.3796995994900387
119,1257,8.499763618446172,0.1956159420829023,0.05890474019997789,0.8366277737432487,1.3431397420976001
196,1127,0.22618755420235512,0.23334664301645314,0.05876358589082539,0.1332373677931023,0.2506260358177409
462,1062,0.2787884039846029,0.2893769513701303,0.0578588219779395,0.1353183080435555,0.3397977916294065
261,1018,8.463458428750874,0.29550720095526195,0.05768928117442194,0.8551776596873133,1.2928139842676765
184,1298,8.57571060029055,0.23327617898338457,0.05762826035628657,0.8536318932709313,1.4058711788599538
508,1632,0.21528964419013188,0.22463506985135445,0.05759008771735573,0.13456222670512114,0.24444192683196342
390,1608,8.544738357853955,0.22143091466631998,0.0575788902426529,0.8567944933758067,1.3315158018918225
148,1246,8.549676893661196,0.22090761939038847,0.05738951311596959,0.8425272925070206,1.3708580402323496
336,1657,0.2195779315198478,0.230538276652983,0.0573666578104218,0.1336189180852484,0.26115584883336657
259,1460,0.18201176718663276,0.18710897977170385,0.05736331947045428,0.11563473712604931,0.24308432596691656
519,1455,8.568294206303932,0.2298443806182382,0.057183590473385684,0.8625516198696819,1.386797674809824
48,1210,0.21903389415345886,0.22554727047617024,0.057063503942461256,0.18482037301745405,0.2251835368558618
700,1267,9.908049779901896,0.24959280167069373,0.056842051389554185,1.0255034506578184,0.2972291315818127
498,1044,8.485061792790093,0.253541913808052,0.056840168857428826,0.8564197305086756,1.281750349721885
641,1605,0.269152601050164,0.27672948775410094,0.056822146683158124,0.1557759696495108,0.3102121889424915
411,1664,8.577124622343922,0.2610563359929256,0.05680634113419312,0.8373597773932207,1.4372703840196117
601,1671,0.19195823901446235,0.19559984472318914,0.05675794101999238,0.11254529627610471,0.2504107188867816
206,1427,0.20662148194401356,0.21542054247715337,0.05669369500091455,0.1177353975483673,0.2278637882410776
136,1115,0.2801790129266472,0.2894941777408414,0.05660784474527125,0.15315030309031466,0.2694998052261962
545,1311,0.22435763672307224,0.23652508015792725,0.05657507929011159,0.1647674427104403,0.2658849029482556
770,1585,0.23307913015502715,0.24447383674384937,0.05652772107254413,0.21183042900288784,0.2906391099042629
474,1418,5.1023634389886645,0.2093619786288618,0.05640520156544438,0.573261119890591,1.3500900644904872
81,1254,0.18701537313561087,0.19576016278527494,0.0562968011316752,0.15035053761616785,0.24442969318072874
615,1471,0.23866981534717144,0.24310134497449773,0.05616391435934319,0.12273544841663758,0.24477743956489706
337,1214,0.21386950237061828,0.22879415225303765,0.05611592632375365,0.16330458409587048,0.2189927585972123
680,1143,8.429287863991597,0.25385698402576956,0.05610644840715794,0.8326730477936388,1.2848965899471907
369,1335,8.476601308158653,0.24124502118851213,0.056048404144678085,0.8699369373691893,1.309458401709875
318,1378,8.553138617456607,0.17645051647448556,0.055826219363013733,0.8433355247856519,1.326175276987517
177,1529,0.300820601167656,0.3084381556037391,0.0558167079308835,0.13639720429324032,0.2977745625218229
408,1067,0.20786604099116487,0.2156458661481066,0.05571554513848828,0.1704397286407504,0.24733753591414873
642,1130,8.511895334259362,0.25327567147223945,0.05566638681285705,0.8577896018564578,1.3064682626265058
617,1064,0.18128358470689737,0.18394757026196443,0.05544816720869827,0.16787162828956068,0.23089743008762742
102,1144,8.428407573009128,0.22873684627863985,0.05519223598851975,0.8502688105998814,1.2788511324815823
726,1107,0.2543835516261399,0.26012956312234786,0.05516027498745844,0.14162024158346706,0.2477309190954912
195,1674,0.20881440229559178,0.22365602771243745,0.05514546360061578,0.13177735749812722,0.20877372303825437
771,1087,8.553507584720414,0.19926485458515197,0.055135393737501655,0.8394513314526985,1.3455968274490735
278,1693,8.498861228826032,0.23263568523387168,0.05511844172957192,0.8629533619317173,1.3920123543622418
527,1262,8.493083475485019,0.2409174071425475,0.05509085389560721,0.8514262713955003,1.3541134905463856
331,1247,8.429489828849428,0.3004010847349474,0.0550029809327531,0.8439688680382051,1.2518237415325728
239,1679,0.2448789264760585,0.2532610684620398,0.05496089652149926,0.18876339337832415,0.27874125021302404
676,1619,0.22092252841098284,0.23382506674230877,0.054922211331447646,0.14116350594973837,0.23684816080297608
481,1515,0.15563768429397176,0.16072022706490127,0.05485094702346358,0.14085090815974713,0.20622292126258787
