,key,$\Delta$dipole,RMSD,$\Delta$R0,$\Delta$R1,$\Delta$R2
89,1030,1.7800092103402394,1.7096284157277535,0.46565998264893743,1.2217755571672264,1.5534942477334792
105,1038,1.8176697014179028,1.801044324345125,0.4551706680418331,1.5748899483338121,1.770775332566931
57,1086,13.977702813911822,1.3713775812238465,0.45086591665066567,1.5612159039343287,1.4471967333915647
38,1102,7.897315067103049,1.6912999972374552,0.43561535544580954,1.727948999092473,1.5284388266551934
90,1001,7.876020791189776,1.423267669909569,0.43348307742882436,1.6063311114990626,1.5251017135523681
99,1021,7.936122521766772,1.950088393947946,0.4268901475188322,1.881445503763377,1.9147223606953936
15,1103,7.834653768483865,1.521675903805974,0.4258665112385947,1.6354933470398005,1.3910758764186526
87,1082,7.795729957546899,1.4762190209192245,0.4225520319875372,1.6420204660325963,1.547963875383126
0,1033,14.485700425967773,1.5877862892539567,0.4218752092927871,1.5446014745871277,1.714300706455131
2,1026,2.0311481904210615,1.8779919175961113,0.4068331666748419,1.2590123001928002,1.4333429416850894
24,1009,14.369322199597205,1.8052951861439133,0.40572031008211185,1.7126380858842793,1.6173130608981408
102,1050,1.376829530662344,1.3654182629167804,0.3986976012049546,1.2344792277189613,1.4513464445267197
122,1042,7.989587183482811,1.434765350738199,0.3954416405474962,1.36789190448268,1.2593360898341555
9,101,7.781359477439745,1.6872846953606344,0.3953559544457109,1.7130044200951413,1.6203525726897898
29,1054,13.89837376752193,1.5789465534786156,0.3915736499925775,1.3533605213273516,1.496922838624233
76,107,14.296410139663639,1.4682208396648468,0.3877917230525495,1.4272969859569828,1.4405610582048345
10,1013,13.883666226052428,1.5166741248676319,0.38026016016954606,1.5571308298303148,1.8830340169219377
72,1109,8.003140298394344,1.9431881314174615,0.3654577441466688,1.5915173118123809,1.8708873686151037
107,102,7.739039412555053,1.3267084296579645,0.35683509104729616,1.5122315905488066,1.252492314171769
101,1114,14.47857163915846,1.6359010891841739,0.3558087492844003,1.5361204522478105,1.9452654266717986
11,1083,13.783409960839407,1.558539701167722,0.35440344540576363,1.3078430702810906,1.4409474999071794
33,1027,14.257255684789211,1.6006174436985614,0.35058880027475975,1.4224609049191912,1.757416378392502
30,1016,13.77290132030807,1.3350887003837246,0.3496626368021754,1.4239116987385425,1.402554594126043
79,1097,14.061690451532826,1.74001819984818,0.3420821111290291,1.545256229035226,1.5678387123965418
95,1055,13.755427202976298,1.2974213506214307,0.3392728952776895,1.3930490772323936,1.4685778508863259
110,1015,13.793023567859967,1.103531338176366,0.33253264048727676,1.3838501782024928,1.394162918260239
104,1075,13.871489383117707,1.235367428705143,0.32879964977943127,1.322695822113623,1.5032684233451707
80,100,14.232455664817026,1.1647805439514567,0.32790289517891275,1.3752637073156122,1.3371695619115633
64,1057,14.188989633363782,1.6633840526591386,0.323308576279506,1.5445810196381282,1.711301207827209
45,103,14.172616564245393,1.1511979067211164,0.3220754437456476,1.3918913071821544,1.2666217819766457
78,1051,14.331501720677513,1.2698121949987384,0.3178470537163638,1.441507810452442,1.303566106583559
